,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,Fire Alarm
243,23.089,50.62,0,400,12630,19711,939.813,0.11,0.2,0
21094,1.467,49.7,1461,438,12930,19362,938.692,1.61,1.68,1
37558,27.01,47.07,1078,557,12830,19459,938.952,1.92,1.99,1
40314,27.01,47.45,1141,438,12870,19449,938.827,1.88,1.95,1
25739,13.9,57.38,0,400,12954,19906,939.774,0.25,0.26,0
11978,16.562,51.22,1111,595,12816,19452,939.027,1.78,1.84,1
45291,26.81,48.46,1272,405,12939,19411,938.738,1.66,1.72,1
8911,-5.186,55.01,362,400,13058,19899,939.275,0.36,0.37,1
11937,16.205,53.39,1074,595,12820,19458,939.037,2.36,2.45,1
30721,22.15,48.84,33,400,13252,20224,939.676,2.52,2.62,1
57329,23.159,46.35,51,400,12838,20719,937.515,1.78,1.85,0
28434,22.25,54.38,292,400,13133,19930,939.696,1.94,2.01,1
10034,-2.686,57.55,852,722,12766,19516,939.135,2.14,2.23,1
1140,27.06,53.95,0,400,13065,19962,939.757,0.34,0.35,0
5878,-8.873,56.07,49,400,13233,20224,939.658,2.22,2.3,1
10180,-1.682,50.62,868,691,12780,19516,939.097,2.2,2.29,1
59992,19.781,42.38,197,431,12772,20527,937.357,1.66,1.73,0
3555,4.704,53.38,327,400,13113,19883,939.69,1.46,1.51,1
21258,-1.264,47.98,1295,400,12956,19402,938.702,1.74,1.8,1
59040,-5.06,42.3,165,445,12767,20562,937.339,1.75,1.82,0
16152,12.234,48.34,1163,409,12878,19442,938.786,1.63,1.69,1
18877,20.737,51.37,1228,416,12903,19423,938.684,1.44,1.5,1
3537,4.924,58.98,319,400,13109,19889,939.705,1.45,1.5,1
27334,17.86,52.04,18,400,13206,20143,939.576,1.06,1.1,0
50266,31.31,43.84,963,2349,12753,19220,931.083,4001.03,4169.24,1
61881,-9.088,24.82,60000,10627,11343,16522,936.835,6470.89,7044.85,0
24244,-8.68,51.11,1157,400,13026,19444,938.791,2.32,2.41,1
8018,-4.203,54.75,316,400,13104,19936,939.389,0.29,0.3,1
42469,26.85,48.04,1141,400,12896,19437,938.734,1.63,1.7,1
21252,-1.164,48.57,1331,400,12958,19399,938.693,1.81,1.88,1
9342,-5.1,58.48,604,536,12873,19653,939.249,2.39,2.48,1
2817,13.841,51.88,131,400,13166,20044,939.655,0.96,1.0,0
9256,-5.182,67.15,587,656,12815,19675,939.228,2.64,2.75,1
60201,15.609,48.96,222,449,12763,20503,937.412,1.27,1.32,0
27909,19.55,45.8,167,400,13145,20000,939.643,1.17,1.22,0
39551,25.06,50.86,1163,483,12856,19440,938.895,2.2,2.28,1
36645,26.47,48.51,1053,607,12816,19472,939.042,2.06,2.14,1
10300,-0.733,50.11,835,682,12788,19523,939.089,2.18,2.27,1
37825,24.55,52.9,1042,545,12834,19471,938.924,2.08,2.16,1
52623,28.87,41.27,87,400,12786,20636,937.443,1.97,2.05,0
50083,24.82,44.22,78,1210,13096,19903,931.218,11177.66,22706.1,1
4436,-4.716,54.05,74,400,13236,20140,939.675,2.5,2.6,1
18276,19.331,50.84,1222,425,12902,19426,938.693,1.71,1.78,1
19021,20.793,53.91,1189,400,12924,19429,938.723,1.95,2.02,1
46234,24.36,53.96,1356,413,12948,19386,938.681,1.81,1.88,1
30004,22.38,48.06,44,400,13244,20174,939.701,2.35,2.45,1
39524,26.74,48.45,1155,467,12854,19439,938.912,1.91,1.99,1
23506,-20.64,53.44,1394,403,12972,19382,938.698,1.63,1.69,1
54974,27.42,39.1,0,400,13402,21346,937.427,1.46,1.52,0
41124,24.59,53.27,1216,422,12877,19434,938.759,1.72,1.79,1
1100,27.099,50.47,13,400,13050,19951,939.751,0.17,0.18,0
47640,26.98,47.69,1308,400,12977,19401,938.748,2.05,2.13,1
18499,20.035,47.81,1228,403,12910,19424,938.726,1.68,1.74,1
20747,7.061,52.61,1182,400,12975,19435,938.718,2.16,2.24,1
8488,-4.752,56.86,313,400,13115,19950,939.344,0.2,0.2,1
45706,26.67,47.69,1053,400,12999,19461,938.701,2.4,2.5,1
15652,12.026,53.21,1210,440,12870,19438,938.799,1.75,1.82,1
29594,20.29,51.75,43,400,13253,20183,939.67,2.59,2.69,1
43061,26.57,49.64,1134,400,12920,19456,938.716,1.75,1.82,1
47018,26.22,51.65,1323,400,12973,19397,938.744,1.98,2.05,1
3210,8.981,58.36,0,400,13340,20329,939.695,2.57,2.67,1
25374,11.53,54.81,30,400,12694,19724,939.82,0.04,0.05,0
4510,-5.328,49.57,43,400,13262,20181,939.637,2.2,2.29,1
7378,-4.39,51.27,263,400,13128,20009,939.502,0.54,0.56,1
6514,-6.986,52.14,202,400,13147,20056,939.588,0.64,0.67,1
56592,54.38,12.44,3493,400,13467,19791,936.699,0.66,0.69,0
59760,20.001,43.12,206,461,12755,20506,937.416,1.68,1.74,0
38461,27.12,46.96,1161,520,12841,19441,938.881,1.81,1.88,1
59906,20.714,49.19,179,435,12762,20543,937.355,1.97,2.05,0
13599,19.484,51.43,1124,513,12841,19447,938.886,1.78,1.85,1
4857,-7.66,54.76,27,400,13262,20190,939.675,2.52,2.62,1
53659,26.56,45.41,161,447,12764,20558,937.296,2.02,2.1,0
37557,26.99,47.1,1120,560,12830,19454,938.963,1.91,1.99,1
40837,26.2,51.95,1138,400,12888,19452,938.817,1.8,1.87,1
44807,26.77,48.54,1145,400,12932,19439,938.706,1.85,1.92,1
22158,-15.104,48.15,1300,400,12973,19400,938.723,2.18,2.27,1
57395,20.555,41.95,66,400,12833,20697,937.517,1.96,2.03,0
31294,20.29,55.79,155,400,13184,20108,939.662,0.74,0.77,1
15593,12.061,53.34,1166,419,12869,19441,938.813,1.96,2.04,1
24627,3.385,47.79,1293,400,12996,19407,938.817,2.27,2.36,1
52862,28.77,41.58,89,400,12791,20636,937.429,1.74,1.81,0
10231,-1.291,51.14,931,699,12783,19506,939.034,2.28,2.36,1
38246,24.58,52.99,1140,547,12832,19436,938.91,1.87,1.95,1
58763,-4.352,47.79,104,400,12791,20620,937.378,1.97,2.05,0
8633,-4.931,55.66,348,400,13081,19911,939.311,0.42,0.44,1
4394,-4.353,48.89,92,400,13238,20133,939.656,2.25,2.34,1
2758,14.551,51.94,117,400,13171,20055,939.625,0.96,1.0,0
38972,24.48,53.37,1141,504,12847,19449,938.919,1.73,1.8,1
34934,24.65,50.84,695,720,12768,19561,939.145,2.31,2.4,1
17180,14.89,47.66,1180,409,12893,19430,938.77,1.73,1.79,1
25705,14.94,50.08,13,400,12920,19868,939.785,0.27,0.28,0
58542,-4.752,41.83,73,400,12791,20649,937.402,1.89,1.96,0
10374,-0.098,53.44,923,684,12782,19502,939.083,2.45,2.55,1
26415,17.34,51.79,4,400,13112,20006,939.686,0.73,0.76,0
27999,20.13,51.32,151,400,13164,20026,939.641,0.67,0.69,0
39267,24.55,53.1,1115,483,12852,19446,938.9,1.74,1.8,1
22294,-16.759,49.97,1427,431,12953,19373,938.702,2.05,2.13,1
5789,-9.035,49.07,15,400,13261,20237,939.694,2.41,2.5,1
20833,5.713,48.17,1291,406,12953,19403,938.686,2.41,2.5,1
11002,6.33,50.72,1009,649,12798,19480,939.085,2.3,2.39,1
17847,17.627,47.33,1128,400,12914,19446,938.694,1.84,1.91,1
61684,4.956,23.13,24,400,13561,21179,936.845,0.82,0.85,0
51719,29.22,40.69,52,400,12836,20715,937.503,1.71,1.78,0
19936,17.201,48.26,1184,401,12934,19432,938.742,1.57,1.63,1
2225,20.457,53.18,2,400,13191,20124,939.604,0.81,0.84,0
7167,-4.852,49.53,257,400,13119,20004,939.521,0.46,0.47,1
7997,-4.186,50.6,293,400,13113,19959,939.391,0.41,0.43,1
62004,-16.515,18.69,60000,15694,11099,15878,936.783,4700.55,9099.07,0
3223,8.818,63.69,10,400,13278,20214,939.698,2.48,2.57,1
60371,12.723,45.89,0,400,12985,20826,937.436,2.15,2.23,0
54346,27.6,48.16,181,400,12782,20532,937.376,1.66,1.73,0
31753,19.05,54.23,215,400,13140,20049,939.616,0.86,0.89,1
27269,18.03,50.39,33,400,13188,20132,939.609,1.29,1.34,0
22784,-21.032,53.08,1394,401,12964,19386,938.742,1.58,1.64,1
36324,24.43,52.55,1034,631,12802,19471,939.097,1.97,2.05,1
30271,19.67,54.94,9,400,13248,20211,939.714,2.18,2.27,1
53113,28.9,41.23,118,400,12792,20602,937.353,2.04,2.12,0
23624,-19.61,53.25,1354,400,12973,19390,938.709,1.63,1.7,1
18850,20.712,48.91,1235,408,12918,19425,938.715,1.58,1.64,1
43356,26.03,53.12,1149,400,12923,19447,938.728,1.72,1.79,1
48479,26.95,47.91,1339,400,12979,19386,938.698,2.23,2.32,1
30791,19.99,53.13,24,400,13251,20219,939.676,2.37,2.47,1
59663,17.443,48.9,151,420,12776,20573,937.382,1.61,1.67,0
36871,24.3,53.35,1138,612,12811,19437,939.021,2.05,2.13,1
60044,18.901,42.92,203,431,12768,20509,937.364,1.73,1.79,0
52000,26.2,46.99,122,419,12772,20626,937.568,1.9,1.98,0
45358,26.99,47.62,1266,400,12950,19414,938.757,1.85,1.92,1
31743,20.2,49.15,232,400,13131,20033,939.609,0.87,0.9,1
22056,-13.756,51.08,1429,424,12954,19372,938.747,1.91,1.98,1
52557,28.7,41.75,82,400,12799,20646,937.465,1.94,2.02,0
5175,-8.891,49.35,36,400,13243,20182,939.697,2.6,2.7,1
50028,23.38,30.47,0,400,13580,20394,931.141,8.05,8.37,1
10701,3.068,51.93,921,662,12792,19496,939.075,2.41,2.5,1
25892,13.18,55.0,18,400,12986,19906,939.755,0.15,0.16,0
4448,-4.818,50.53,59,400,13260,20157,939.657,2.33,2.42,1
25455,13.53,54.47,0,400,12770,19790,939.818,0.27,0.31,0
7915,-4.13,56.21,309,400,13108,19960,939.408,0.26,0.27,1
53594,28.87,41.81,156,428,12779,20564,937.284,1.92,2.0,0
23735,-18.354,50.75,1429,426,12960,19371,938.716,1.84,1.91,1
53616,25.81,48.59,174,451,12764,20553,937.325,2.0,2.07,0
57777,0.899,40.35,76,400,12782,20665,937.534,2.0,2.07,0
46852,26.81,48.13,1320,400,12960,19402,938.726,1.89,1.96,1
47915,25.53,54.25,1297,400,12982,19404,938.752,1.63,1.7,1
52279,26.85,44.14,108,400,12775,20630,937.493,1.79,1.86,0
21790,-9.895,49.11,1323,400,12965,19402,938.727,1.85,1.92,1
26427,17.75,49.37,4,400,13098,20000,939.696,0.59,0.61,0
2794,14.119,45.72,111,400,13183,20060,939.634,0.98,1.02,0
55533,46.13,27.74,13863,529,12743,19085,936.875,0.75,0.78,0
4183,-2.368,51.99,94,400,13241,20119,939.631,2.38,2.47,1
15014,13.148,47.94,1111,445,12866,19452,938.83,2.06,2.15,1
54500,26.54,46.28,220,447,12759,20508,937.433,1.75,1.82,0
14259,16.44,51.48,1130,483,12848,19456,938.891,1.74,1.81,1
56030,46.51,29.57,60000,4533,11733,17306,936.9,791.76,822.61,0
8286,-4.492,50.09,315,400,13105,19948,939.382,0.36,0.38,1
53490,25.95,47.7,169,431,12780,20559,937.329,1.62,1.69,0
34069,18.78,54.97,378,400,13044,19886,939.269,0.33,0.34,1
17534,16.29,48.19,1149,407,12902,19441,938.758,1.47,1.53,1
46042,24.57,53.3,1354,410,12946,19390,938.699,2.14,2.23,1
23126,-22.01,47.78,1369,400,12969,19380,938.725,1.53,1.59,1
51833,28.87,41.72,81,448,12786,20667,937.507,2.5,2.6,0
26597,18.14,50.28,0,400,13146,20053,939.588,0.49,0.51,0
17079,14.527,51.9,1166,420,12886,19431,938.803,1.79,1.86,1
1444,26.218,48.97,36,400,13083,19975,939.696,0.64,0.67,0
44019,26.43,50.71,1197,400,12925,19427,938.715,1.94,2.02,1
50618,38.45,15.35,0,1454,12858,20542,930.941,0.9,0.93,1
34532,20.95,61.43,716,784,12736,19548,939.16,2.47,2.57,1
39648,26.87,47.83,1166,465,12863,19440,938.872,1.89,1.96,1
39274,24.47,53.38,1151,482,12853,19448,938.906,2.04,2.12,1
43663,26.65,49.06,1205,404,12913,19423,938.714,1.48,1.54,1
34400,22.4,57.44,623,534,12869,19636,939.182,3.04,3.16,1
20140,15.224,52.33,1161,400,12960,19434,938.74,1.61,1.67,1
8548,-4.828,52.99,312,400,13097,19938,939.333,0.29,0.3,1
24109,-11.912,52.69,1199,400,13027,19428,938.76,2.54,2.64,1
37117,26.09,51.71,1023,561,12833,19477,939.015,1.88,1.95,1
30817,21.32,53.98,1,400,13269,20252,939.686,2.39,2.48,1
52772,26.03,47.22,102,404,12784,20617,937.436,1.59,1.65,0
30444,19.68,54.54,27,400,13242,20205,939.72,2.38,2.47,1
7709,-4.083,52.91,264,400,13136,19996,939.448,0.41,0.43,1
54018,26.71,44.91,195,442,12762,20525,937.415,1.67,1.74,0
33153,20.67,51.35,304,400,13113,19964,939.394,0.22,0.23,1
39966,25.55,47.83,1136,467,12852,19441,938.823,1.84,1.91,1
50839,38.68,14.08,259,3646,12425,20330,930.861,1.13,1.18,1
36884,26.54,48.54,1101,598,12810,19454,939.04,1.96,2.04,1
8860,-5.153,56.35,355,400,13062,19898,939.266,0.54,0.56,1
40322,27.14,47.08,1111,431,12877,19451,938.833,2.0,2.08,1
27213,17.67,51.98,1,400,13198,20123,939.604,0.89,0.93,0
53080,25.79,47.96,131,406,12782,20589,937.357,1.69,1.76,0
46278,24.64,52.99,1333,410,12955,19399,938.695,1.89,1.96,1
25748,14.68,52.51,3,400,12946,19888,939.761,0.27,0.28,0
10483,0.898,49.25,854,653,12794,19506,939.118,2.03,2.11,1
57052,26.538,39.05,57,427,12850,20728,937.565,2.24,2.32,0
51900,29.08,40.86,60,432,12781,20689,937.555,1.83,1.91,0
45529,26.81,47.52,1046,400,12989,19462,938.73,1.93,2.0,1
55999,43.88,31.61,60000,1294,12343,18210,936.842,95.5,99.22,0
53202,25.7,48.14,148,417,12774,20563,937.357,1.93,2.0,0
31778,20.71,52.98,202,400,13155,20060,939.607,0.51,0.53,1
44527,25.35,48.99,1262,422,12915,19410,938.706,1.75,1.82,1
36603,26.88,47.16,1021,614,12813,19462,939.07,1.81,1.89,1
11705,14.006,50.58,971,586,12817,19485,939.064,2.35,2.44,1
55395,40.23,20.8,1896,400,13046,20142,936.783,1.62,1.68,0
55357,39.02,39.13,8775,400,12912,19411,936.893,0.67,0.7,0
15824,12.0,52.58,1117,413,12871,19441,938.809,1.53,1.59,1
47412,24.87,51.97,1362,408,12962,19387,938.752,2.15,2.23,1
50284,32.13,35.96,617,5288,12277,19378,931.055,100.81,104.74,1
49825,24.38,54.03,1335,417,12982,19398,938.831,1.97,2.05,1
42906,25.55,48.03,1253,442,12892,19420,938.709,1.65,1.72,1
30856,19.77,54.6,11,400,13258,20254,939.678,2.51,2.6,1
48559,24.59,53.34,1371,401,12977,19383,938.694,1.7,1.77,1
964,27.095,56.82,7,400,13018,19924,939.761,0.14,0.14,0
32077,20.51,53.29,221,400,13148,20044,939.553,0.45,0.46,1
51979,27.04,43.88,102,424,12776,20646,937.556,2.13,2.21,0
3171,9.468,50.62,188,400,13142,19970,939.648,0.76,0.79,0
2027,22.317,47.26,38,400,13142,20011,939.644,0.84,0.87,0
5664,-9.196,49.07,46,400,13248,20209,939.726,2.56,2.65,1
17758,17.246,53.77,1107,400,12906,19445,938.708,1.67,1.73,1
25493,11.71,55.45,13,400,12781,19780,939.831,0.25,0.26,0
54835,27.18,39.39,0,400,13434,21292,937.444,1.85,1.92,0
35616,23.69,54.3,942,668,12786,19495,939.074,2.48,2.58,1
13974,17.848,53.17,1113,497,12846,19454,938.934,1.85,1.92,1
48071,24.89,51.65,1394,418,12963,19379,938.71,1.86,1.93,1
62475,-6.555,14.88,1392,400,13690,20318,936.667,0.85,0.88,0
6677,-6.409,49.84,204,400,13150,20054,939.61,0.63,0.66,1
42421,27.09,47.35,1145,400,12903,19447,938.753,1.61,1.67,1
13057,20.808,50.82,1082,553,12829,19451,938.922,2.26,2.35,1
45464,26.64,48.5,1103,400,12978,19452,938.765,1.79,1.86,1
61744,0.677,32.0,60000,1297,12351,18216,936.844,99.95,103.84,0
25047,10.8,56.6,11,404,12513,19591,939.707,0.01,0.03,0
12276,18.796,50.4,1023,579,12822,19471,939.041,1.91,1.98,1
6648,-6.511,55.42,219,400,13142,20053,939.602,0.57,0.6,1
41040,27.09,47.27,1097,403,12889,19450,938.802,1.58,1.64,1
11088,7.291,48.35,1090,668,12778,19448,939.075,2.45,2.54,1
51642,26.41,46.43,70,400,12826,20696,937.534,1.75,1.82,0
1383,26.461,48.93,0,400,13104,20010,939.723,0.53,0.55,0
41413,24.92,51.8,1168,408,12881,19439,938.758,1.93,2.01,1
54733,28.33,38.42,0,400,13257,21245,937.465,1.72,1.79,0
52805,28.82,41.3,84,400,12791,20636,937.4,1.76,1.82,0
46666,26.65,48.7,1343,400,12965,19398,938.704,2.39,2.49,1
35698,25.7,50.59,963,673,12789,19485,939.091,2.46,2.56,1
1167,27.024,51.44,41,400,13041,19926,939.787,0.38,0.39,0
7659,-4.096,51.6,273,400,13127,19995,939.432,0.45,0.47,1
37309,26.83,47.67,990,559,12830,19476,938.986,1.96,2.04,1
55008,26.44,43.96,128,400,13184,21028,937.05,1.95,2.03,0
28904,22.04,49.31,161,400,13217,20060,939.65,2.33,2.42,1
9434,-4.969,64.55,636,559,12859,19619,939.196,3.01,3.12,1
49893,24.25,54.43,1327,415,12989,19404,938.847,1.58,1.64,1
29330,22.24,48.38,93,400,13234,20113,939.647,2.22,2.31,1
33893,20.94,50.86,350,400,13069,19910,939.279,0.52,0.54,1
25509,13.17,57.16,0,400,12809,19809,939.828,0.38,0.42,0
37949,24.48,53.14,1086,545,12834,19464,938.907,2.07,2.15,1
10855,4.71,52.61,1002,671,12791,19478,939.062,2.74,2.85,1
30374,19.99,53.21,17,400,13255,20225,939.749,2.19,2.28,1
39511,24.54,53.25,1155,463,12860,19438,938.913,1.74,1.81,1
53653,28.88,41.93,164,433,12770,20561,937.327,1.84,1.92,0
40268,25.28,49.39,1191,448,12863,19439,938.818,1.47,1.53,1
26091,16.25,50.9,3,400,13057,19962,939.758,0.2,0.21,0
13211,20.603,48.13,1086,531,12842,19453,938.881,2.21,2.29,1
21880,-11.251,52.45,1333,408,12956,19392,938.726,1.95,2.03,1
43035,24.85,52.31,1176,409,12906,19433,938.702,1.97,2.05,1
1366,26.522,51.0,0,400,13110,20010,939.692,0.4,0.41,0
37895,25.65,53.36,996,527,12850,19481,938.908,2.25,2.33,1
15017,13.139,47.67,1115,435,12872,19451,938.831,2.07,2.15,1
46135,26.9,47.75,1308,400,12955,19401,938.681,2.31,2.4,1
42861,24.66,53.12,1126,400,12910,19450,938.688,1.76,1.83,1
46753,24.8,52.16,1356,410,12959,19392,938.701,1.95,2.03,1
24538,0.182,54.28,1394,425,12981,19386,938.778,1.75,1.82,1
51232,29.37,40.29,34,422,12858,20753,937.602,2.15,2.23,0
46912,26.84,48.11,1385,404,12954,19375,938.728,1.91,1.98,1
116,21.595,56.65,0,400,12565,19673,939.807,0.02,0.05,0
32917,18.26,56.74,307,400,13115,19961,939.399,0.3,0.31,1
7949,-4.151,49.96,299,400,13113,19969,939.396,0.2,0.21,1
8929,-5.197,57.63,367,400,13057,19901,939.246,0.53,0.55,1
26490,18.03,49.18,5,400,13124,20024,939.689,0.46,0.48,0
59425,6.86,48.84,157,434,12773,20560,937.335,2.01,2.09,0
2574,16.707,51.56,69,400,13198,20103,939.624,0.94,0.97,0
44650,25.06,51.04,1283,430,12910,19406,938.709,1.54,1.6,1
30796,19.78,54.44,24,400,13252,20232,939.689,2.43,2.52,1
21682,-8.213,47.86,1356,406,12961,19389,938.707,2.34,2.43,1
32774,20.94,50.0,274,400,13124,19978,939.415,0.43,0.45,1
51830,28.66,42.76,75,447,12797,20686,937.516,2.47,2.57,0
35947,26.26,48.57,1027,653,12792,19478,939.046,2.32,2.42,1
27915,18.88,49.34,161,400,13146,20010,939.627,1.05,1.09,0
32145,20.88,50.74,229,400,13135,20035,939.528,0.54,0.56,1
10623,2.268,54.37,906,668,12789,19501,939.071,2.47,2.56,1
16342,12.524,47.43,1172,407,12882,19440,938.747,2.1,2.18,1
22242,-16.146,52.86,1387,408,12954,19381,938.69,2.0,2.07,1
41548,24.51,53.49,1147,409,12883,19441,938.758,1.63,1.69,1
21897,-11.502,54.01,1383,410,12961,19391,938.74,1.88,1.95,1
45495,24.78,52.16,1264,400,12955,19419,938.757,2.08,2.16,1
